,,,,,,,,,,,,,,,,,,,,,,,,,
Age :,,month,Formular,,Age Estimated Weight (kg),,,,,,,Formular,,,,,,,,,,,,,
Calculated weight (For age 1-11 month):,,kg,(Age in months + 9) / 2,,1-11 mos (age in months + 9) / 2,,,,,,,Calculated weight formula:,(Age x 2) + 8,,,,,,,,,,,,
Calculated weight (For age >= 1 year):,,kg,(Age x 2) + 8,,1-4 yrs (age in years + 5) x 2,,,,,,,Cuffed Size formula:,(Age / 4) + 3.5,,,,,,,,,,,,
,,,,,5-14 yrs Age in years x 4,,,,,,,Uncuffed Size formula:,(Age / 4) + 4,,,,,,,,,,,,
Weight :,,kg,,,,,,,,,,Insertion Depth formula:,(Age / 2) + 12,size tube x 3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manula Calculator,,,,,,,,,,,,,
Normal V/S rang by Age,SBP (mmHg),MAP (mmHg),Heart rate (bpm),Respi Rate (RR),,,,,,,,Weight,,kg,,,,,,,,,,,
,,,,,,,,,,,,Drug ,,mg,,,,,,,,,,,
,,,,,,,,,,,,Solution,,ml,,,,,,,,,,,
,,,,,,,,,,,,8 to <12 years,14,16 to 22,25,52,67 to 103,115,,,,,,,
,,,,,,,,,,,,12 to <15 years,12,15 to 21,23,47,62 to 96,108,,,,,,,
,,,,,,,,,,,,15 to 18 years,11,13 to 19,22,43,58 to 92,104,,,,,,,
,,,,,,,,,,,,"Data from: Fleming S, Thompson M, Stevens R, et al. Normal ranges of heart rate and respiratory rate in children from birth to 18 years of age: A systematic review of observational studies. Lancet 2011; 377:1011.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,MAP,Percentiles,,,,,,,,,,,,
,,,,,,,,,,,,Age Group,1%,5%,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%,99%
,,,,,,,,,,,,37 wk post-menstrual age to 30 d,32,39,42,47,50,53,56,59,63,67,73,79,91
,,,,,,,,,,,,1–3 mo,34,41,44,49,52,55,59,62,65,70,76,82,93
,,,,,,,,,,,,3–6 mo,37,44,47,52,56,59,62,66,69,74,80,86,96
,,,,,,,,,,,,6–12 mo,41,48,52,57,61,64,67,71,75,80,86,92,101
,,,,,,,,,,,,1–2 yr,45,52,56,62,66,69,72,76,80,84,91,96,105
,,,,,,,,,,,,2–3 yr,45,53,56,61,65,68,71,74,78,82,88,94,103
